Team,No.,Driver name,Rounds
ART Grand Prix[2],1,Nobuharu Matsushita[3],"1–3, 5–11"
ART Grand Prix[2],René Binder[4],4,
ART Grand Prix[2],2,Sergey Sirotkin[5],All
Racing Engineering[2],3,Norman Nato[6],All
Racing Engineering[2],4,Jordan King[7],All
DAMS[2],5,Alex Lynn[8],All
DAMS[2],6,Nicholas Latifi[8],All
Pertamina Campos Racing[a],7,Mitch Evans[9],All
Pertamina Campos Racing[a],8,Sean Gelael[9],All
Russian Time[2],9,Raffaele Marciello[10],All
Russian Time[2],10,Artem Markelov[9],All
Rapax[2],11,Gustav Malja[11],All
Rapax[2],12,Arthur Pic[12],1–9
Rapax[2],Johnny Cecotto Jr.[13][b],10–11,
Trident[2],14,Philo Paz Armand[14],All
Trident[2],15,Luca Ghiotto[15],All
Carlin[2],18,Sergio Canamasas[16],"1–6, 8–11"
Carlin[2],René Binder[17],7,
Carlin[2],19,Marvin Kirchhöfer[18],1–10
Carlin[2],Louis Delétraz[19],11,
Prema Racing[20],20,Antonio Giovinazzi[21],All
Prema Racing[20],21,Pierre Gasly[22],All
MP Motorsport[2],22,Oliver Rowland[23],All
MP Motorsport[2],23,Daniël de Jong[24],All
Arden International[2],24,Nabil Jeffri[25],All
Arden International[2],25,Jimmy Eriksson[25],1–9
