Entrant,No.,Driver name,Rounds
Carlin,1,Louis Delétraz,All
Carlin,2,Nobuharu Matsushita,All
ART Grand Prix,3,Nikita Mazepin,All
ART Grand Prix,4,Nyck de Vries,All
DAMS,5,Sérgio Sette Câmara,All
DAMS,6,Nicholas Latifi,All
UNI-Virtuosi Racing,7,Guanyu Zhou,All
UNI-Virtuosi Racing,8,Luca Ghiotto,All
Prema Racing,9,Mick Schumacher,All
Prema Racing,10,Sean Gelael,All
Sauber Junior Team by Charouz,11,Callum Ilott,All
Sauber Junior Team by Charouz,12,Juan Manuel Correa,1–9
Sauber Junior Team by Charouz,Matevos Isaakyan,11–12,
Campos Racing,14,Dorian Boccolacci,1–5
Campos Racing,Arjun Maini,6–8,
Campos Racing,Marino Sato,9–12,
Campos Racing,15,Jack Aitken,All
MP Motorsport,16,Jordan King,"1–3, 5–12"
MP Motorsport,Artem Markelov,4,
MP Motorsport,17,Mahaveer Raghunathan[b],"1–5, 7–12"
MP Motorsport,Pato O'Ward[c],6,
BWT Arden,18,Tatiana Calderón,All
BWT Arden,19,Anthoine Hubert,1–9
BWT Arden,22,Artem Markelov[d],11–12
Trident,20,Giuliano Alesi[e],All
Trident,21,Ralph Boschung,"1–5, 8–9, 11"
Trident,Ryan Tveter,6,
Trident,Dorian Boccolacci,7,
Trident,Christian Lundgaard,12,
