Team,Chassis[N 1],Engine,No.,Driver,Status,Rounds
Prema Theodore Racing,F315/004,Mercedes-Benz,1,Guanyu Zhou,,All
Prema Theodore Racing,F318/002,Mercedes-Benz,4,Mick Schumacher,,All
Prema Theodore Racing,F317/004,Mercedes-Benz,7,Ralf Aron,,All
Prema Theodore Racing,F317/003,Mercedes-Benz,8,Marcus Armstrong,R,All
Prema Theodore Racing,F314/015,Mercedes-Benz,10,Robert Shwartzman,R,All
Motopark,F318/006,Volkswagen,3,Sebastián Fernández,R,All
Motopark,F316/012,Volkswagen,13,Fabio Scherer,R,All
Motopark,F315/007,Volkswagen,23,Jonathan Aberdein,R,All
Motopark,F318/007,Volkswagen,27,Dan Ticktum,,All
Motopark,F314/018,Volkswagen,33,Marino Sato,,All
Motopark,F315/003,Volkswagen,44,Jüri Vips,R,All
Fortec Motorsports,F318/007,Mercedes-Benz,5,Petru Florescu,R,2–7
Carlin,F312/010,Volkswagen,9,Jehan Daruvala,,All
Carlin,F317/001,Volkswagen,11,Sacha Fenestraz,R,All
Carlin,F315/016,Volkswagen,16,Nikita Troitskiy,R,All
Carlin,F312/004,Volkswagen,17,Devlin DeFrancesco,,1–4
Carlin,F312/004,Volkswagen,17,Julian Hanses,R,9–10
Carlin,F312/002,Volkswagen,24,Ameya Vaidyanathan,R,All
Carlin,F317/020,Volkswagen,62,Ferdinand Habsburg,,All
Van Amersfoort Racing,F316/017,Mercedes-Benz,12,Artem Petrov,R,All
Van Amersfoort Racing,F317/018,Mercedes-Benz,15,Keyvan Andres,,All
Van Amersfoort Racing,F316/001,Mercedes-Benz,25,Sophia Flörsch,R,4–10
Van Amersfoort Racing,F316/010,Mercedes-Benz,30,Frederik Vesti,R,10
ma-con,F312/019,Volkswagen,18,Julian Hanses,R,1–6
Hitech Bullfrog GP,F316/018,Mercedes-Benz,39,Álex Palou,,All
Hitech Bullfrog GP,F315/009,Mercedes-Benz,65,Enaam Ahmed,R,All
Hitech Bullfrog GP,F317/011,Mercedes-Benz,66,Charles Leong,R,6
Hitech Bullfrog GP,F315/011,Mercedes-Benz,77,Ben Hingeley,R,All
